index,Series_Title,Released_Year,Certificate,Runtime_in_Minutes,Genre,IMDB_Rating,Meta_score,No_of_Votes,Gross
66,WALL·E,2008,U,98,"Animation, Adventure, Family",8.4,95.0,999790.0,223808164
67,The Lives of Others,2006,A,137,"Drama, Mystery, Thriller",8.4,89.0,358685.0,11286112
68,Oldeuboi,2003,A,101,"Action, Drama, Mystery",8.4,77.0,515451.0,707481
69,Memento,2000,UA,113,"Mystery, Thriller",8.4,80.0,1125712.0,25544867
70,Mononoke-hime,1997,U,134,"Animation, Action, Adventure",8.4,76.0,343171.0,2375308
71,Once Upon a Time in America,1984,A,229,"Crime, Drama",8.4,-1.0,311365.0,5321508
72,Raiders of the Lost Ark,1981,A,115,"Action, Adventure",8.4,85.0,884112.0,248159971
73,The Shining,1980,A,146,"Drama, Horror",8.4,66.0,898237.0,44017374
74,Apocalypse Now,1979,R,147,"Drama, Mystery, War",8.4,94.0,606398.0,83471511
75,Alien,1979,R,117,"Horror, Sci-Fi",8.4,89.0,787806.0,78900000
76,Anand,1971,U,122,"Drama, Musical",8.4,-1.0,30273.0,-1
77,Tengoku to jigoku,1963,-1,143,"Crime, Drama, Mystery",8.4,-1.0,34357.0,-1
78,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,A,95,Comedy,8.4,97.0,450474.0,275902
79,Witness for the Prosecution,1957,U,116,"Crime, Drama, Mystery",8.4,-1.0,108862.0,8175000
80,Paths of Glory,1957,A,88,"Drama, War",8.4,90.0,178092.0,-1
81,Rear Window,1954,U,112,"Mystery, Thriller",8.4,100.0,444074.0,36764313
82,Sunset Blvd.,1950,Passed,110,"Drama, Film-Noir",8.4,-1.0,201632.0,-1
83,The Great Dictator,1940,Passed,125,"Comedy, Drama, War",8.4,-1.0,203150.0,288475
84,1917,2019,R,119,"Drama, Thriller, War",8.3,78.0,425844.0,159227644
85,Tumbbad,2018,A,104,"Drama, Fantasy, Horror",8.3,-1.0,27793.0,-1
86,Andhadhun,2018,UA,139,"Crime, Drama, Music",8.3,-1.0,71875.0,1373943
87,Drishyam,2013,U,160,"Crime, Drama, Thriller",8.3,-1.0,30722.0,-1
88,Jagten,2012,R,115,Drama,8.3,77.0,281623.0,687185
89,Jodaeiye Nader az Simin,2011,PG-13,123,Drama,8.3,95.0,220002.0,7098492
90,Incendies,2010,R,131,"Drama, Mystery, War",8.3,80.0,150023.0,6857096
91,Miracle in cell NO.7,2019,TV-14,132,Drama,8.3,-1.0,33935.0,-1
92,Babam ve Oglum,2005,-1,112,"Drama, Family",8.3,-1.0,78925.0,-1
93,Inglourious Basterds,2009,A,153,"Adventure, Drama, War",8.3,69.0,1267869.0,120540719
94,Eternal Sunshine of the Spotless Mind,2004,UA,108,"Drama, Romance, Sci-Fi",8.3,89.0,911664.0,34400301
95,Amélie,2001,U,122,"Comedy, Romance",8.3,69.0,703810.0,33225499
96,Snatch,2000,UA,104,"Comedy, Crime",8.3,55.0,782001.0,30328156
97,Requiem for a Dream,2000,A,102,Drama,8.3,68.0,766870.0,3635482
98,American Beauty,1999,UA,122,Drama,8.3,84.0,1069738.0,130096601
99,Good Will Hunting,1997,U,126,"Drama, Romance",8.3,70.0,861606.0,138433435
