index,Series_Title,Released_Year,Certificate,Runtime_in_Minutes,Genre,IMDB_Rating,Meta_score,No_of_Votes,Gross
292,El ángel exterminador,1962,-1,95,"Drama, Fantasy",8.1,-1.0,29682.0,-1
293,What Ever Happened to Baby Jane?,1962,Passed,134,"Drama, Horror, Thriller",8.1,75.0,50058.0,4050000
294,Sanjuro,1962,U,96,"Action, Comedy, Crime",8.1,-1.0,33044.0,-1
295,The Man Who Shot Liberty Valance,1962,-1,123,"Drama, Western",8.1,94.0,68827.0,-1
296,Ivanovo detstvo,1962,-1,95,"Drama, War",8.1,-1.0,31728.0,-1
297,Jungfrukällan,1960,A,89,Drama,8.1,-1.0,26697.0,1526000
298,Inherit the Wind,1960,Passed,128,"Biography, Drama, History",8.1,75.0,27254.0,-1
299,Les quatre cents coups,1959,-1,99,"Crime, Drama",8.1,-1.0,105291.0,-1
300,Ben-Hur,1959,U,212,"Adventure, Drama, History",8.1,90.0,219466.0,74700000
301,Kakushi-toride no san-akunin,1958,-1,139,"Adventure, Drama",8.1,-1.0,34797.0,-1
302,Le notti di Cabiria,1957,-1,110,Drama,8.1,-1.0,42940.0,752045
303,Kumonosu-jô,1957,-1,110,"Drama, History",8.1,-1.0,46678.0,-1
304,The Bridge on the River Kwai,1957,PG,161,"Adventure, Drama, War",8.1,87.0,203463.0,44908000
305,On the Waterfront,1954,A,108,"Crime, Drama, Thriller",8.1,91.0,142107.0,9600000
306,Le salaire de la peur,1953,U,131,"Adventure, Drama, Thriller",8.1,85.0,54588.0,-1
307,Ace in the Hole,1951,Approved,111,"Drama, Film-Noir",8.1,72.0,31568.0,3969893
308,White Heat,1949,-1,114,"Action, Crime, Drama",8.1,-1.0,29807.0,-1
309,The Third Man,1949,Approved,104,"Film-Noir, Mystery, Thriller",8.1,97.0,158731.0,449191
310,The Red Shoes,1948,-1,135,"Drama, Music, Romance",8.1,-1.0,30935.0,10900000
311,The Shop Around the Corner,1940,-1,99,"Comedy, Drama, Romance",8.1,96.0,28450.0,2033
312,Rebecca,1940,Approved,130,"Drama, Mystery, Romance",8.1,86.0,123942.0,4360000
313,Mr. Smith Goes to Washington,1939,Passed,129,"Comedy, Drama",8.1,73.0,107017.0,9600000
314,Gone with the Wind,1939,U,238,"Drama, History, Romance",8.1,97.0,290074.0,198676459
315,La Grande Illusion,1937,-1,113,"Drama, War",8.1,-1.0,33829.0,172885
316,It Happened One Night,1934,Approved,105,"Comedy, Romance",8.1,87.0,94016.0,4360000
317,La passion de Jeanne d'Arc,1928,Passed,110,"Biography, Drama, History",8.1,-1.0,47676.0,21877
318,The Circus,1928,Passed,72,"Comedy, Romance",8.1,90.0,30205.0,-1
319,Sunrise: A Song of Two Humans,1927,Passed,94,"Drama, Romance",8.1,-1.0,46865.0,53954
320,The General,1926,Passed,67,"Action, Adventure, Comedy",8.1,-1.0,81156.0,1033895
321,Das Cabinet des Dr. Caligari,1920,-1,76,"Fantasy, Horror, Mystery",8.1,-1.0,57428.0,-1
322,Badhaai ho,2018,UA,124,"Comedy, Drama",8.0,-1.0,27978.0,-1
323,Togo,2019,U,113,"Adventure, Biography, Drama",8.0,69.0,37556.0,-1
324,Airlift,2016,UA,130,"Drama, History",8.0,-1.0,52897.0,-1
325,Bajrangi Bhaijaan,2015,UA,163,"Action, Adventure, Comedy",8.0,-1.0,72245.0,8178001
326,Baby,2015,UA,159,"Action, Crime, Thriller",8.0,-1.0,52848.0,-1
327,La La Land,2016,A,128,"Comedy, Drama, Music",8.0,94.0,505918.0,151101803
328,Lion,2016,U,118,"Biography, Drama",8.0,69.0,213970.0,51739495
329,The Martian,2015,UA,144,"Adventure, Drama, Sci-Fi",8.0,80.0,760094.0,228433663
330,Zootopia,2016,U,108,"Animation, Adventure, Comedy",8.0,78.0,434143.0,341268248
331,Bãhubali: The Beginning,2015,UA,159,"Action, Drama",8.0,-1.0,102972.0,6738000
332,Kaguyahime no monogatari,2013,U,137,"Animation, Adventure, Drama",8.0,89.0,38746.0,1506975
333,Wonder,2017,U,113,"Drama, Family",8.0,66.0,141923.0,132422809
334,Gully Boy,2019,UA,154,"Drama, Music, Romance",8.0,65.0,31886.0,5566534
335,Special Chabbis,2013,UA,144,"Crime, Drama, Thriller",8.0,-1.0,51069.0,1079369
336,Short Term 12,2013,R,96,Drama,8.0,82.0,81770.0,1010414
337,Serbuan maut 2: Berandal,2014,A,150,"Action, Crime, Thriller",8.0,71.0,114316.0,2625803
338,The Imitation Game,2014,UA,114,"Biography, Drama, Thriller",8.0,73.0,685201.0,91125683
339,Guardians of the Galaxy,2014,UA,121,"Action, Adventure, Comedy",8.0,76.0,1043455.0,333176600
340,Blade Runner 2049,2017,UA,164,"Action, Drama, Mystery",8.0,81.0,461823.0,92054159
341,Her,2013,A,126,"Drama, Romance, Sci-Fi",8.0,90.0,540772.0,25568251
342,Bohemian Rhapsody,2018,UA,134,"Biography, Drama, Music",8.0,49.0,450349.0,216428042
343,The Revenant,2015,A,156,"Action, Adventure, Drama",8.0,76.0,705589.0,183637894
344,The Perks of Being a Wallflower,2012,UA,103,"Drama, Romance",8.0,67.0,462252.0,17738570
345,Tropa de Elite 2: O Inimigo Agora é Outro,2010,-1,115,"Action, Crime, Drama",8.0,71.0,79200.0,100119
346,The King's Speech,2010,U,118,"Biography, Drama, History",8.0,88.0,639603.0,138797449
347,The Help,2011,UA,146,Drama,8.0,62.0,428521.0,169708112
348,Deadpool,2016,R,108,"Action, Adventure, Comedy",8.0,65.0,902669.0,363070709
349,Darbareye Elly,2009,TV-PG,119,"Drama, Mystery",8.0,87.0,45803.0,106662
350,Dev.D,2009,A,144,"Drama, Romance",8.0,-1.0,28749.0,1095
351,Yip Man,2008,R,106,"Action, Biography, Drama",8.0,59.0,211427.0,-1
352,My Name Is Khan,2010,UA,165,Drama,8.0,50.0,98575.0,4018695
353,Nefes: Vatan Sagolsun,2009,-1,128,"Action, Drama, Thriller",8.0,-1.0,31838.0,-1
354,Slumdog Millionaire,2008,UA,120,"Drama, Romance",8.0,84.0,798882.0,141319928
355,Black Swan,2010,A,108,"Drama, Thriller",8.0,79.0,699673.0,106954678
356,Tropa de Elite,2007,R,115,"Action, Crime, Drama",8.0,33.0,98097.0,806
357,The Avengers,2012,UA,143,"Action, Adventure, Sci-Fi",8.0,69.0,1260806.0,623279547
358,Persepolis,2007,PG-13,96,"Animation, Biography, Drama",8.0,90.0,88656.0,4445756
359,Dallas Buyers Club,2013,R,117,"Biography, Drama",8.0,80.0,441614.0,27298285
360,The Pursuit of Happyness,2006,U,117,"Biography, Drama",8.0,64.0,448930.0,163566459
361,Blood Diamond,2006,A,143,"Adventure, Drama, Thriller",8.0,64.0,499439.0,57366262
362,The Bourne Ultimatum,2007,UA,115,"Action, Mystery, Thriller",8.0,85.0,604694.0,227471070
363,Bin-jip,2004,U,88,"Crime, Drama, Romance",8.0,72.0,50610.0,238507
364,Sin City,2005,A,124,"Crime, Thriller",8.0,74.0,738512.0,74103820
365,Le scaphandre et le papillon,2007,PG-13,112,"Biography, Drama",8.0,-1.0,-1.0,-1
366,G.O.R.A.,2004,-1,127,"Adventure, Comedy, Sci-Fi",8.0,-1.0,56960.0,-1
367,Ratatouille,2007,U,111,"Animation, Adventure, Comedy",8.0,96.0,641645.0,206445654
368,Casino Royale,2006,PG-13,144,"Action, Adventure, Thriller",8.0,80.0,582239.0,167445960
369,Kill Bill: Vol. 2,2004,A,137,"Action, Crime, Thriller",8.0,83.0,683900.0,66208183
370,Vozvrashchenie,2003,-1,110,Drama,8.0,82.0,42399.0,502028
371,Bom Yeoareum Gaeul Gyeoul Geurigo Bom,2003,R,103,"Drama, Romance",8.0,85.0,77520.0,2380788
372,Mar adentro,2014,U,126,"Biography, Drama",8.0,74.0,77554.0,2086345
373,Cinderella Man,2005,UA,144,"Biography, Drama, History",8.0,69.0,176151.0,61649911
374,Kal Ho Naa Ho,2003,U,186,"Comedy, Drama, Musical",8.0,54.0,63460.0,1787378
375,Mou gaan dou,2002,UA,101,"Action, Crime, Drama",8.0,75.0,117857.0,169659
376,Pirates of the Caribbean: The Curse of the Black Pearl,2003,UA,143,"Action, Adventure, Fantasy",8.0,63.0,1015122.0,305413918
377,Big Fish,2003,U,125,"Adventure, Drama, Fantasy",8.0,58.0,415218.0,66257002
378,The Incredibles,2004,U,115,"Animation, Action, Adventure",8.0,90.0,657047.0,261441092
379,Yeopgijeogin geunyeo,2001,-1,137,"Comedy, Drama, Romance",8.0,-1.0,45403.0,-1
380,Dogville,2003,R,178,"Crime, Drama",8.0,60.0,137963.0,1530386
381,Vizontele,2001,-1,110,"Comedy, Drama",8.0,-1.0,33592.0,-1
382,Donnie Darko,2001,R,113,"Drama, Mystery, Sci-Fi",8.0,88.0,740086.0,1480006
383,Magnolia,1999,R,188,Drama,8.0,77.0,289742.0,22455976
384,Dancer in the Dark,2000,U,140,"Crime, Drama, Musical",8.0,61.0,102285.0,4184036
385,The Straight Story,1999,U,112,"Biography, Drama",8.0,86.0,82002.0,6203044
386,Pâfekuto burû,1997,A,81,"Animation, Crime, Mystery",8.0,-1.0,58192.0,776665
387,Festen,1998,R,105,Drama,8.0,82.0,78341.0,1647780
388,Central do Brasil,1998,R,110,Drama,8.0,80.0,36419.0,5595428
389,The Iron Giant,1999,PG,86,"Animation, Action, Adventure",8.0,85.0,172083.0,23159305
390,Knockin' on Heaven's Door,1997,-1,87,"Action, Crime, Comedy",8.0,-1.0,27721.0,3296
391,Sling Blade,1996,R,135,Drama,8.0,84.0,86838.0,24475416
392,Secrets & Lies,1996,U,136,"Comedy, Drama",8.0,91.0,37564.0,13417292
393,Twelve Monkeys,1995,A,129,"Mystery, Sci-Fi, Thriller",8.0,74.0,578443.0,57141459
394,Kôkaku Kidôtai,1995,UA,83,"Animation, Action, Crime",8.0,76.0,129231.0,515905
395,The Nightmare Before Christmas,1993,U,76,"Animation, Family, Fantasy",8.0,82.0,300208.0,75082668
396,Groundhog Day,1993,U,101,"Comedy, Fantasy, Romance",8.0,72.0,577991.0,70906973
397,Bound by Honor,1993,R,180,"Crime, Drama",8.0,47.0,28825.0,4496583
398,Scent of a Woman,1992,UA,156,Drama,8.0,59.0,263918.0,63895607
399,Aladdin,1992,U,90,"Animation, Adventure, Comedy",8.0,86.0,373845.0,217350219
400,JFK,1991,UA,189,"Drama, History, Thriller",8.0,72.0,142110.0,70405498
401,Beauty and the Beast,1991,G,84,"Animation, Family, Fantasy",8.0,95.0,417178.0,218967620
402,Dances with Wolves,1990,U,181,"Adventure, Drama, Western",8.0,72.0,240266.0,184208848
403,Do the Right Thing,1989,R,120,"Comedy, Drama",8.0,93.0,89429.0,27545445
404,Rain Man,1988,U,133,Drama,8.0,-1.0,-1.0,-1
405,Akira,1988,UA,124,"Animation, Action, Sci-Fi",8.0,-1.0,164918.0,553171
406,The Princess Bride,1987,U,98,"Adventure, Family, Fantasy",8.0,77.0,393899.0,30857814
407,Der Himmel über Berlin,1987,U,128,"Drama, Fantasy, Romance",8.0,79.0,64722.0,3333969
408,Au revoir les enfants,1987,U,104,"Drama, War",8.0,88.0,31163.0,4542825
409,Tenkû no shiro Rapyuta,1986,U,125,"Animation, Adventure, Drama",8.0,78.0,150140.0,-1
410,The Terminator,1984,UA,107,"Action, Sci-Fi",8.0,84.0,799795.0,38400000
411,Gandhi,1982,U,191,"Biography, Drama, History",8.0,79.0,217664.0,52767889
412,Kagemusha,1980,U,180,"Drama, History, War",8.0,84.0,32195.0,-1
413,Being There,1979,PG,130,"Comedy, Drama",8.0,83.0,65625.0,30177511
414,Annie Hall,1977,A,93,"Comedy, Romance",8.0,92.0,251823.0,39200000
415,Jaws,1975,A,124,"Adventure, Thriller",8.0,87.0,543388.0,260000000
416,Dog Day Afternoon,1975,U,125,"Biography, Crime, Drama",8.0,86.0,235652.0,50000000
417,Young Frankenstein,1974,A,106,Comedy,8.0,80.0,143359.0,86300000
418,Papillon,1973,R,151,"Biography, Crime, Drama",8.0,58.0,121627.0,53267000
419,The Exorcist,1973,A,122,Horror,8.0,81.0,362393.0,232906145
420,Sleuth,1972,PG,138,"Mystery, Thriller",8.0,-1.0,44748.0,4081254
421,The Last Picture Show,1971,R,118,"Drama, Romance",8.0,93.0,42456.0,29133000
422,Fiddler on the Roof,1971,G,181,"Drama, Family, Musical",8.0,67.0,39491.0,80500000
423,Il conformista,1970,UA,113,Drama,8.0,100.0,27067.0,54194
424,Butch Cassidy and the Sundance Kid,1969,PG,110,"Biography, Crime, Drama",8.0,66.0,201888.0,102308889
425,Rosemary's Baby,1968,A,137,"Drama, Horror",8.0,96.0,193674.0,-1
426,Planet of the Apes,1968,U,112,"Adventure, Sci-Fi",8.0,79.0,165167.0,33395426
427,The Graduate,1967,A,106,"Comedy, Drama, Romance",8.0,83.0,253676.0,104945305
428,Who's Afraid of Virginia Woolf?,1966,A,131,Drama,8.0,75.0,68926.0,-1
429,The Sound of Music,1965,U,172,"Biography, Drama, Family",8.0,63.0,205425.0,163214286
430,Doctor Zhivago,1965,A,197,"Drama, Romance, War",8.0,69.0,69903.0,111722000
431,Per un pugno di dollari,1964,A,99,"Action, Drama, Western",8.0,65.0,198219.0,14500000
432,8½,1963,-1,138,Drama,8.0,91.0,108844.0,5069
433,Vivre sa vie: Film en douze tableaux,1962,-1,80,Drama,8.0,-1.0,28057.0,-1
434,The Hustler,1961,A,134,"Drama, Sport",8.0,90.0,75067.0,8284000
435,La dolce vita,1960,A,174,"Comedy, Drama",8.0,95.0,66621.0,19516000
436,Rio Bravo,1959,Passed,141,"Action, Drama, Western",8.0,93.0,56305.0,12535000
437,Anatomy of a Murder,1959,-1,161,"Crime, Drama, Mystery",8.0,95.0,59847.0,11900000
438,Touch of Evil,1958,PG-13,95,"Crime, Drama, Film-Noir",8.0,99.0,98431.0,2237659
439,Cat on a Hot Tin Roof,1958,A,108,Drama,8.0,84.0,45062.0,17570324
440,Sweet Smell of Success,1957,Approved,96,"Drama, Film-Noir",8.0,100.0,28137.0,-1
441,The Killing,1956,Approved,84,"Crime, Drama, Film-Noir",8.0,91.0,81702.0,-1
442,The Night of the Hunter,1955,-1,92,"Crime, Drama, Film-Noir",8.0,99.0,81980.0,654
443,La Strada,1954,-1,108,Drama,8.0,-1.0,58314.0,-1
444,Les diaboliques,1955,-1,117,"Crime, Drama, Horror",8.0,-1.0,61503.0,-1
445,Stalag 17,1953,-1,120,"Comedy, Drama, War",8.0,84.0,51046.0,-1
446,Roman Holiday,1953,-1,118,"Comedy, Romance",8.0,78.0,127256.0,-1
447,A Streetcar Named Desire,1951,A,122,Drama,8.0,97.0,99182.0,8000000
448,In a Lonely Place,1950,-1,94,"Drama, Film-Noir, Mystery",8.0,-1.0,26784.0,-1
449,Kind Hearts and Coronets,1949,U,106,"Comedy, Crime",8.0,-1.0,34485.0,-1
450,Rope,1948,A,80,"Crime, Drama, Mystery",8.0,73.0,129783.0,-1
451,Out of the Past,1947,-1,97,"Crime, Drama, Film-Noir",8.0,-1.0,32784.0,-1
452,Brief Encounter,1945,U,86,"Drama, Romance",8.0,92.0,35601.0,-1
453,Laura,1944,Passed,88,"Drama, Film-Noir, Mystery",8.0,-1.0,42725.0,4360000
454,The Best Years of Our Lives,1946,Approved,170,"Drama, Romance, War",8.0,93.0,57259.0,23650000
455,Arsenic and Old Lace,1942,-1,118,"Comedy, Crime, Thriller",8.0,-1.0,65101.0,-1
456,The Maltese Falcon,1941,-1,100,"Film-Noir, Mystery",8.0,96.0,148928.0,2108060
457,The Grapes of Wrath,1940,Passed,129,"Drama, History",8.0,96.0,85559.0,55
458,The Wizard of Oz,1939,U,102,"Adventure, Family, Fantasy",8.0,92.0,371379.0,2076020
459,La règle du jeu,1939,-1,110,"Comedy, Drama",8.0,-1.0,26725.0,-1
460,The Thin Man,1934,TV-PG,91,"Comedy, Crime, Mystery",8.0,86.0,26642.0,-1
461,All Quiet on the Western Front,1930,U,152,"Drama, War",8.0,91.0,57318.0,3270000
462,Bronenosets Potemkin,1925,-1,75,"Drama, History, Thriller",8.0,97.0,53054.0,5097
463,Knives Out,2019,UA,130,"Comedy, Crime, Drama",7.9,82.0,454203.0,165359751
464,Dil Bechara,2020,UA,101,"Comedy, Drama, Romance",7.9,-1.0,111478.0,-1
465,Manbiki kazoku,2018,A,121,"Crime, Drama",7.9,93.0,62754.0,3313513
466,Marriage Story,2019,U,137,"Comedy, Drama, Romance",7.9,94.0,246644.0,2000000
467,Call Me by Your Name,2017,UA,132,"Drama, Romance",7.9,93.0,212651.0,18095701
468,"I, Daniel Blake",2016,UA,100,Drama,7.9,78.0,53818.0,258168
469,Isle of Dogs,2018,U,101,"Animation, Adventure, Comedy",7.9,82.0,139114.0,32015231
470,Hunt for the Wilderpeople,2016,UA,101,"Adventure, Comedy, Drama",7.9,81.0,111483.0,5202582
471,Captain Fantastic,2016,R,118,"Comedy, Drama",7.9,72.0,189400.0,5875006
472,Sing Street,2016,PG-13,106,"Comedy, Drama, Music",7.9,79.0,85109.0,3237118
473,Thor: Ragnarok,2017,UA,130,"Action, Adventure, Comedy",7.9,74.0,587775.0,315058289
474,Nightcrawler,2014,A,117,"Crime, Drama, Thriller",7.9,76.0,466134.0,32381218
475,Jojo Rabbit,2019,UA,108,"Comedy, Drama, War",7.9,58.0,297918.0,349555
476,Arrival,2016,UA,116,"Drama, Sci-Fi",7.9,81.0,594181.0,100546139
477,Star Wars: Episode VII - The Force Awakens,2015,U,138,"Action, Adventure, Sci-Fi",7.9,80.0,860823.0,936662225
478,Before Midnight,2013,R,109,"Drama, Romance",7.9,94.0,141457.0,8114627
479,X-Men: Days of Future Past,2014,UA,132,"Action, Adventure, Sci-Fi",7.9,75.0,659763.0,233921534
480,Bir Zamanlar Anadolu'da,2011,-1,157,"Crime, Drama",7.9,82.0,41995.0,13873
481,The Artist,2011,U,100,"Comedy, Drama, Romance",7.9,89.0,230624.0,44671682
482,Edge of Tomorrow,2014,UA,113,"Action, Adventure, Sci-Fi",7.9,71.0,600004.0,100206256
483,Amour,2012,UA,127,"Drama, Romance",7.9,94.0,93090.0,6739492
484,The Irishman,2019,R,209,"Biography, Crime, Drama",7.9,94.0,324720.0,7000000
485,Un prophète,2009,A,155,"Crime, Drama",7.9,90.0,93560.0,2084637
486,Moon,2009,R,97,"Drama, Mystery, Sci-Fi",7.9,67.0,335152.0,5009677
487,Låt den rätte komma in,2008,R,114,"Crime, Drama, Fantasy",7.9,82.0,205609.0,2122065
488,District 9,2009,A,112,"Action, Sci-Fi, Thriller",7.9,81.0,638202.0,115646235
489,The Wrestler,2008,UA,109,"Drama, Sport",7.9,80.0,289415.0,26236603
490,Jab We Met,2007,U,138,"Comedy, Drama, Romance",7.9,-1.0,47720.0,4108
491,Boyhood,2014,A,165,Drama,7.9,100.0,335533.0,25379975
492,"4 luni, 3 saptamâni si 2 zile",2007,-1,113,Drama,7.9,97.0,56625.0,1185783
493,Star Trek,2009,UA,127,"Action, Adventure, Sci-Fi",7.9,82.0,577336.0,257730019
494,In Bruges,2008,R,107,"Comedy, Crime, Drama",7.9,67.0,390334.0,7757130
495,The Man from Earth,2007,-1,87,"Drama, Fantasy, Mystery",7.9,-1.0,174125.0,-1
496,Letters from Iwo Jima,2006,UA,141,"Action, Adventure, Drama",7.9,89.0,154011.0,13756082
497,The Fall,2006,R,117,"Adventure, Drama, Fantasy",7.9,64.0,107290.0,2280348
498,Life of Pi,2012,U,127,"Adventure, Drama, Fantasy",7.9,79.0,580708.0,124987023
499,Fantastic Mr. Fox,2009,PG,87,"Animation, Adventure, Comedy",7.9,83.0,199696.0,21002919
500,C.R.A.Z.Y.,2005,-1,129,"Comedy, Drama",7.9,81.0,31476.0,-1
501,Les choristes,2004,PG-13,97,"Drama, Music",7.9,56.0,57430.0,3635164
502,Iron Man,2008,UA,126,"Action, Adventure, Sci-Fi",7.9,79.0,939644.0,318412101
503,Shaun of the Dead,2004,UA,99,"Comedy, Horror",7.9,76.0,512249.0,13542874
504,Gegen die Wand,2004,R,121,"Drama, Romance",7.9,78.0,51325.0,-1
505,Mystic River,2003,A,138,"Crime, Drama, Mystery",7.9,84.0,419420.0,90135191
506,Harry Potter and the Prisoner of Azkaban,2004,U,142,"Adventure, Family, Fantasy",7.9,82.0,552493.0,249358727
507,Ying xiong,2002,PG-13,120,"Action, Adventure, History",7.9,85.0,173999.0,53710019
508,Hable con ella,2002,R,112,"Drama, Mystery, Romance",7.9,86.0,104691.0,9284265
509,No Man's Land,2001,R,98,"Comedy, Drama, War",7.9,84.0,44618.0,1059830
510,Cowboy Bebop: Tengoku no tobira,2001,U,115,"Animation, Action, Crime",7.9,61.0,42897.0,1000045
511,The Bourne Identity,2002,UA,119,"Action, Mystery, Thriller",7.9,68.0,508771.0,121661683
512,Nueve reinas,2000,R,114,"Crime, Drama, Thriller",7.9,80.0,49721.0,1221261
513,Children of Men,2006,A,109,"Adventure, Drama, Sci-Fi",7.9,84.0,465113.0,35552383
514,Almost Famous,2000,A,122,"Adventure, Comedy, Drama",7.9,90.0,252586.0,32534850
515,Mulholland Dr.,2001,R,147,"Drama, Mystery, Thriller",7.9,85.0,322031.0,7220243
516,Toy Story 2,1999,U,92,"Animation, Adventure, Comedy",7.9,88.0,527512.0,245852179
517,Boogie Nights,1997,R,155,Drama,7.9,85.0,239473.0,26400640
518,Mimi wo sumaseba,1995,U,111,"Animation, Drama, Family",7.9,75.0,51943.0,-1
519,Once Were Warriors,1994,A,102,"Crime, Drama",7.9,77.0,31590.0,2201126
520,True Romance,1993,R,119,"Crime, Drama, Romance",7.9,59.0,206918.0,12281500
521,Trois couleurs: Bleu,1993,U,94,"Drama, Music, Mystery",7.9,85.0,89836.0,1324974
522,Jûbê ninpûchô,1993,A,94,"Animation, Action, Adventure",7.9,-1.0,34529.0,-1
523,Carlito's Way,1993,A,144,"Crime, Drama, Thriller",7.9,65.0,201000.0,36948322
524,Edward Scissorhands,1990,U,105,"Drama, Fantasy, Romance",7.9,74.0,447368.0,56362352
525,My Left Foot: The Story of Christy Brown,1989,U,103,"Biography, Drama",7.9,97.0,68076.0,14743391
526,Crimes and Misdemeanors,1989,PG-13,104,"Comedy, Drama",7.9,77.0,54670.0,18254702
527,The Untouchables,1987,A,119,"Crime, Drama, Thriller",7.9,79.0,281842.0,76270454
528,Hannah and Her Sisters,1986,PG-13,107,"Comedy, Drama",7.9,90.0,67176.0,40084041
529,Brazil,1985,U,132,"Drama, Sci-Fi",7.9,84.0,187567.0,9929135
530,This Is Spinal Tap,1984,R,82,"Comedy, Music",7.9,92.0,128812.0,188751
531,A Christmas Story,1983,U,93,"Comedy, Family",7.9,77.0,132947.0,20605209
532,The Blues Brothers,1980,U,133,"Action, Adventure, Comedy",7.9,60.0,183182.0,57229890
533,Manhattan,1979,R,96,"Comedy, Drama, Romance",7.9,83.0,131436.0,45700000
534,All That Jazz,1979,A,123,"Drama, Music, Musical",7.9,72.0,28223.0,37823676
535,Dawn of the Dead,1978,A,127,"Action, Adventure, Horror",7.9,71.0,111512.0,5100000
536,All the President's Men,1976,U,138,"Biography, Drama, History",7.9,84.0,103031.0,70600000
537,La montaña sagrada,1973,R,114,"Adventure, Drama, Fantasy",7.9,76.0,37183.0,61001
538,Amarcord,1973,R,123,"Comedy, Drama, Family",7.9,-1.0,39897.0,-1
539,Le charme discret de la bourgeoisie,1972,PG,102,Comedy,7.9,93.0,38737.0,198809
540,"Aguirre, der Zorn Gottes",1972,-1,95,"Action, Adventure, Biography",7.9,-1.0,52397.0,-1
541,Harold and Maude,1971,PG,91,"Comedy, Drama, Romance",7.9,62.0,70826.0,-1
542,Patton,1970,U,172,"Biography, Drama, War",7.9,91.0,93741.0,61700000
543,The Wild Bunch,1969,A,145,"Action, Adventure, Western",7.9,97.0,77401.0,12064472
544,Night of the Living Dead,1968,-1,96,"Horror, Thriller",7.9,89.0,116557.0,89029
545,The Lion in Winter,1968,PG,134,"Biography, Drama, History",7.9,-1.0,29003.0,22276975
546,In the Heat of the Night,1967,U,110,"Crime, Drama, Mystery",7.9,75.0,67804.0,24379978
547,Charade,1963,U,113,"Comedy, Mystery, Romance",7.9,83.0,68689.0,13474588
548,The Manchurian Candidate,1962,PG-13,126,"Drama, Thriller",7.9,94.0,71122.0,-1
549,Spartacus,1960,A,197,"Adventure, Biography, Drama",7.9,87.0,124339.0,30000000
550,L'avventura,1960,U,144,"Drama, Mystery",7.9,-1.0,26542.0,-1
551,Hiroshima mon amour,1959,-1,90,"Drama, Romance",7.9,-1.0,28421.0,883
552,The Ten Commandments,1956,U,220,"Adventure, Drama",7.9,-1.0,63560.0,93740000
553,The Searchers,1956,Passed,119,"Adventure, Drama, Western",7.9,94.0,80316.0,-1
554,East of Eden,1955,U,118,Drama,7.9,72.0,40313.0,-1
555,High Noon,1952,PG,85,"Drama, Thriller, Western",7.9,89.0,97222.0,9450000
556,Strangers on a Train,1951,A,101,"Crime, Film-Noir, Thriller",7.9,88.0,123341.0,7630000
557,Harvey,1950,Approved,104,"Comedy, Drama, Fantasy",7.9,-1.0,52573.0,-1
558,Miracle on 34th Street,1947,-1,96,"Comedy, Drama, Family",7.9,88.0,41625.0,2650000
559,Notorious,1946,U,102,"Drama, Film-Noir, Romance",7.9,100.0,92306.0,10464000
560,The Big Sleep,1946,Passed,114,"Crime, Film-Noir, Mystery",7.9,-1.0,78796.0,6540000
561,The Lost Weekend,1945,Passed,101,"Drama, Film-Noir",7.9,-1.0,33549.0,9460000
562,The Philadelphia Story,1940,-1,112,"Comedy, Romance",7.9,96.0,63550.0,-1
563,His Girl Friday,1940,Passed,92,"Comedy, Drama, Romance",7.9,-1.0,53667.0,296
564,The Adventures of Robin Hood,1938,PG,102,"Action, Adventure, Romance",7.9,97.0,47175.0,3981000
565,A Night at the Opera,1935,Passed,96,"Comedy, Music, Musical",7.9,-1.0,30580.0,2537520
566,King Kong,1933,Passed,100,"Adventure, Horror, Sci-Fi",7.9,90.0,78991.0,10000000
567,Freaks,1932,-1,64,"Drama, Horror",7.9,80.0,42117.0,-1
568,Nosferatu,1922,-1,94,"Fantasy, Horror",7.9,-1.0,88794.0,-1
569,The Gentlemen,2019,A,113,"Action, Comedy, Crime",7.8,51.0,237392.0,-1
570,Raazi,2018,UA,138,"Action, Drama, Thriller",7.8,-1.0,25344.0,-1
571,Sound of Metal,2019,R,120,"Drama, Music",7.8,81.0,27187.0,-1
572,Forushande,2016,UA,124,Drama,7.8,85.0,51240.0,2402067
573,Dunkirk,2017,UA,106,"Action, Drama, History",7.8,94.0,555092.0,188373161
574,Perfetti sconosciuti,2016,-1,96,"Comedy, Drama",7.8,-1.0,57168.0,-1
575,Hidden Figures,2016,UA,127,"Biography, Drama, History",7.8,74.0,200876.0,169607287
576,Paddington 2,2017,U,103,"Adventure, Comedy, Family",7.8,88.0,61594.0,40442052
577,Udta Punjab,2016,A,148,"Action, Crime, Drama",7.8,-1.0,27175.0,-1
578,Kubo and the Two Strings,2016,PG,101,"Animation, Action, Adventure",7.8,84.0,118035.0,48023088
579,M.S. Dhoni: The Untold Story,2016,U,184,"Biography, Drama, Sport",7.8,-1.0,40416.0,1782795
580,Manchester by the Sea,2016,UA,137,Drama,7.8,96.0,246963.0,47695120
581,Under sandet,2015,R,100,"Drama, History, War",7.8,75.0,35539.0,435266
582,Rogue One,2016,UA,133,"Action, Adventure, Sci-Fi",7.8,65.0,556608.0,532177324
583,Captain America: Civil War,2016,UA,147,"Action, Adventure, Sci-Fi",7.8,75.0,663649.0,408084349
584,The Hateful Eight,2015,A,168,"Crime, Drama, Mystery",7.8,68.0,517059.0,54117416
585,Little Women,2019,U,135,"Drama, Romance",7.8,91.0,143250.0,108101214
