movie_id,actor_id
0,0
1505,0
2817,0
2877,0
1,1
305,1
1074,1
1447,1
2,2
36,2
63,2
155,2
600,2
778,2
832,2
953,2
1217,2
1614,2
1774,2
3,3
108,3
164,3
398,3
416,3
523,3
809,3
823,3
849,3
974,3
1001,3
1484,3
1649,3
4,4
48,4
457,4
1981,4
5,5
10,5
13,5
6,6
7,7
615,7
2756,7
3155,7
8,8
37,8
145,8
147,8
243,8
343,8
361,8
652,8
879,8
1658,8
2062,8
9,9
93,9
628,9
910,9
1027,9
1096,9
1795,9
1879,9
2393,9
2960,9
3215,9
3600,9
5,10
10,10
13,10
11,11
24,11
25,11
101,11
151,11
596,11
604,11
647,11
791,11
818,11
890,11
966,11
1243,11
2516,11
12,12
115,12
167,12
225,12
431,12
691,12
853,12
965,12
985,12
991,12
1234,12
1854,12
5,13
10,13
13,13
14,14
15,15
71,15
111,15
165,15
173,15
278,15
484,15
664,15
671,15
687,15
960,15
1003,15
1033,15
1164,15
2527,15
2529,15
2752,15
16,16
29,16
109,16
17,17
73,17
283,17
806,17
1824,17
2037,17
18,18
19,19
239,19
939,19
2641,19
20,20
21,21
359,21
569,21
2578,21
2969,21
3147,21
22,22
23,23
11,24
24,24
25,24
101,24
151,24
596,24
604,24
647,24
791,24
818,24
890,24
966,24
1243,24
2516,24
11,25
24,25
25,25
101,25
151,25
596,25
604,25
647,25
791,25
818,25
890,25
966,25
1243,25
2516,25
26,26
2680,26
27,27
922,27
1000,27
2167,27
2234,27
2768,27
3673,27
28,28
1111,28
2921,28
2936,28
16,29
29,29
109,29
30,30
172,30
412,30
1294,30
2077,30
2181,30
31,31
77,31
181,31
189,31
294,31
301,31
303,31
32,32
81,32
119,32
295,32
313,32
437,32
450,32
557,32
1311,32
2562,32
33,33
341,33
635,33
1039,33
2235,33
34,34
1889,34
35,35
2,36
36,36
63,36
155,36
600,36
778,36
832,36
953,36
1217,36
1614,36
1774,36
8,37
37,37
145,37
147,37
243,37
343,37
361,37
652,37
879,37
1658,37
2062,37
38,38
742,38
3209,38
39,39
159,39
373,39
649,39
774,39
1162,39
1622,39
40,40
925,40
941,40
1009,40
2469,40
2733,40
2811,40
41,41
98,41
162,41
1486,41
2027,41
42,42
43,43
44,44
410,44
677,44
45,45
2815,45
46,46
47,47
675,47
4,48
48,48
457,48
1981,48
49,49
50,50
191,50
448,50
456,50
560,50
710,50
711,50
870,50
873,50
51,51
52,51
83,51
127,51
193,51
318,51
51,52
52,52
83,52
127,52
193,52
318,52
53,53
54,54
353,54
55,55
56,56
2902,56
57,57
64,57
153,57
166,57
207,57
240,57
247,57
2065,57
58,58
59,59
60,59
583,59
737,59
59,60
60,60
583,60
737,60
61,61
62,62
779,62
1205,62
1882,62
2,63
36,63
63,63
155,63
600,63
778,63
832,63
953,63
1217,63
1614,63
1774,63
57,64
64,64
153,64
166,64
207,64
240,64
247,64
2065,64
65,65
66,66
67,67
1958,67
68,68
1602,68
69,69
1642,69
2162,69
70,70
15,71
71,71
111,71
165,71
173,71
278,71
484,71
664,71
671,71
687,71
960,71
1003,71
1033,71
1164,71
2527,71
2529,71
2752,71
72,72
168,72
275,72
340,72
663,72
1016,72
1029,72
1109,72
17,73
73,73
283,73
806,73
1824,73
2037,73
74,74
696,74
3243,74
75,75
106,75
2623,75
2685,75
76,76
31,77
77,77
181,77
189,77
294,77
301,77
303,77
78,78
413,78
1869,78
79,79
80,80
307,80
549,80
2451,80
32,81
81,81
119,81
295,81
313,81
437,81
450,81
557,81
1311,81
2562,81
82,82
304,82
445,82
543,82
1280,82
2870,82
51,83
52,83
83,83
127,83
193,83
318,83
84,84
85,85
86,86
322,86
591,86
87,87
88,88
613,88
765,88
1630,88
89,89
90,90
91,91
92,92
1054,92
9,93
93,93
628,93
910,93
1027,93
1096,93
1795,93
1879,93
2393,93
2960,93
3215,93
3600,93
94,94
250,94
95,95
936,95
96,96
3161,96
97,97
419,97
41,98
98,98
162,98
1486,98
2027,98
99,99
266,99
1671,99
2399,99
100,100
11,101
24,101
25,101
101,101
151,101
596,101
604,101
647,101
791,101
818,101
890,101
966,101
1243,101
2516,101
102,102
979,102
982,102
103,103
3484,103
104,104
105,105
75,106
106,106
2623,106
2685,106
107,107
1209,107
3,108
108,108
164,108
398,108
416,108
523,108
809,108
823,108
849,108
974,108
1001,108
1484,108
1649,108
16,109
29,109
109,109
110,110
124,110
365,110
404,110
656,110
668,110
1110,110
1124,110
1365,110
1404,110
1656,110
1668,110
