id,actor
292,Atsuko Tanaka
293,Danny Elfman
294,Bill Murray
295,Damian Chapa
296,John Musker
297,Kevin Costner
298,Kirk Wise
299,Danny Aiello
300,Mitsuo Iwata
301,Cary Elwes
302,Gaspard Manesse
303,Mayumi Tanaka
304,Ben Kingsley
305,Woody Allen
306,Roy Scheider
307,Gene Wilder
308,Timothy Bottoms
309,Topol
310,Jean-Louis Trintignant
311,Mia Farrow
312,Dustin Hoffman
313,Elizabeth Taylor
314,Julie Andrews
315,Omar Sharif
316,Marcello Mastroianni
317,Anna Karina
318,John Wayne
319,Burt Lancaster
320,Sterling Hayden
321,Robert Mitchum
322,Simone Signoret
323,Vivien Leigh
324,Dennis Price
325,Celia Johnson
326,Gene Tierney
327,Myrna Loy
328,Marcel Dalio
329,William Powell
330,Lew Ayres
331,Aleksandr Antonov
332,Lily Franky
333,Adam Driver
334,Armie Hammer
335,Laura Obiols
336,Bryan Cranston
337,Ferdia Walsh-Peelo
338,Chris Hemsworth
339,Roman Griffin Davis
340,Amy Adams
341,Daisy Ridley
342,Patrick Stewart
343,Muhammet Uzuner
344,Jean Dujardin
345,Tahar Rahim
346,Sam Rockwell
347,Kåre Hedebrant
348,Sharlto Copley
349,Mickey Rourke
350,Ellar Coltrane
351,Anamaria Marinca
352,Chris Pine
353,Colin Farrell
354,David Lee Smith
355,Ken Watanabe
356,Lee Pace
357,Suraj Sharma
358,George Clooney
359,Michel Côté
360,Gérard Jugnot
361,Simon Pegg
362,Birol Ünel
363,Sean Penn
364,Jet Li
365,Rosario Flores
366,Branko Djuric
367,Tensai Okamura
368,Franka Potente
369,Julianne Moore
370,Billy Crudup
371,Naomi Watts
372,Ash Brannon
373,Mark Wahlberg
374,Yoko Honna
375,Rena Owen
376,Christian Slater
377,Juliette Binoche
378,Kôichi Yamadera
379,Martin Landau
380,Jonathan Pryce
381,Rob Reiner
382,Peter Billingsley
383,John Belushi
384,David Emge
385,Alejandro Jodorowsky
386,Magali Noël
387,Fernando Rey
388,Ruth Gordon
389,George C. Scott
390,Duane Jones
391,Sidney Poitier
392,Frank Sinatra
393,Gabriele Ferzetti
394,Emmanuelle Riva
395,James Dean
396,Gary Cooper
397,Farley Granger
398,Edmund Gwenn
399,William Keighley
400,Edmund Goulding
401,Ernest B. Schoedsack
402,Wallace Ford
403,Max Schreck
404,Alia Bhatt
405,Riz Ahmed
406,Shahab Hosseini
407,Fionn Whitehead
408,Giuseppe Battiston
409,Taraji P. Henson
410,Ben Whishaw
411,Charlize Theron
412,Casey Affleck
413,Roland Møller
414,Felicity Jones
415,Samuel L. Jackson
416,Saoirse Ronan
417,Hugh Welchman
418,Bill Nighy
419,Bérénice Bejo
420,Toni Servillo
421,Chris Williams
422,Domhnall Gleeson
423,Sridevi
424,Hideaki Anno
425,Geoffrey Rush
426,Jared Gilman
427,Jay Baruchel
428,Takako Matsu
429,Lee Byung-Hun
430,Won Bin
431,O'Shea Jackson Jr.
432,Hye-ja Kim
433,Kim Yoon-seok
434,Ian McKellen
435,Christian Friedel
436,Michael Nyqvist
437,Eddie Redmayne
438,Asa Butterfield
439,Glen Hansard
440,Martin Freeman
441,Baki Davrak
442,Keira Knightley
443,Denzel Washington
444,Sam Worthington
445,Jared Leto
446,Gerardo Taracena
447,Valerie Faris
448,Shôgo Furuya
449,Nathan Fillion
450,Andreas Wilson
451,Gena Rowlands
452,Gael García Bernal
453,Oksana Akinshina
454,Michèle Caucheteux
455,Lee Yeong-ae
456,Jim Caviezel
457,Yun-Fat Chow
458,Cecilia Roth
459,Vicky Jenson
460,Takeshi Kitano
461,Michael Douglas
462,Kevin Jarre
463,Tom Guiry
464,David Thewlis
465,Boyd Kirkland
466,Winona Ryder
467,Cuba Gooding Jr.
468,James Caan
469,Kirsten Dunst
470,Matthew Broderick
471,Gene Hackman
472,Bruce Campbell
473,Tom Waits
474,Sean Astin
475,Danny Glover
476,Emilio Estevez
477,Sam Waterston
478,Sam Shepard
479,Henry Thomas
480,Sean Connery
481,Barry Bostwick
482,Edward Fox
483,Liza Minnelli
484,Audrey Hepburn
485,Warren Beatty
486,Andrew Marton
487,Jeanne Moreau
488,Deborah Kerr
489,Jean-Paul Belmondo
490,Arthur Rosson
491,Teresa Wright
492,Margaret Lockwood
493,Katharine Hepburn
494,Boris Karloff
495,Groucho Marx
496,Richard Rosson
497,Colin Clive
498,Yalitza Aparicio
499,Josh O'Connor
500,Kelsey Asbille
501,Daniel Kaluuya
502,Rolf Lassgård
503,Taika Waititi
504,Hiromasa Yonebayashi
505,Shailene Woodley
506,Thomas Mann
507,Michael Keaton
508,Léa Seydoux
509,Amit Sadh
510,Veerle Baetens
511,Bruce Dern
512,John C. Reilly
513,Jeff Bridges
514,Owen Wilson
515,Phil Lord
516,Sandra Bullock
517,Abraham Attah
518,Jesse Eisenberg
519,James McAvoy
520,Zach Galifianakis
521,Bradley Cooper
522,Zooey Deschanel
523,Cate Blanchett
524,Frank Langella
525,Megumi Hayashibara
526,Angelina Jolie
527,Madeline Carroll
528,Riisa Naka
529,Tatsuya Fujiwara
530,Thomas Turgoose
531,Alicia Vikander
532,Josh Hartnett
533,Diane Kruger
534,Sam Riley
535,Byron Howard
536,Carice van Houten
537,Stephen Chow
538,Dakota Fanning
539,Eileen Walsh
540,Paddy Considine
541,Nicolas Cage
542,Moritz Bleibtreu
543,Jamie Bell
544,John Cameron Mitchell
545,Andrew Philpot
546,James Marsden
547,Trey Parker
548,Ron Livingston
549,Jane Adams
550,Jason Schwartzman
551,Eduardo Noriega
552,John Cusack
553,Thierry Lhermitte
554,Kenneth Branagh
555,Liesel Matthews
556,Leon Lai
557,Massimo Troisi
558,Brian O'Halloran
559,Andie MacDowell
560,Michael Caine
561,Shûichirô Moriyama
562,Kathy Bates
563,Bob Hoskins
564,Bernard-Pierre Donnadieu
565,Richard E. Grant
566,John Lone
567,Isabella Rossellini
568,Griffin Dunne
569,William Shatner
570,Donald Sutherland
571,David Zucker
572,Yasuo Yamada
573,Donald Pleasence
574,Roman Polanski
575,Walter Matthau
576,Cleavon Little
577,Bruce Lee
578,Jon Voight
579,Richard Burton
580,Lee Marvin
581,Catherine Deneuve
582,Paul Scofield
583,Stanley Baker
584,Rod Taylor
585,Karlheinz Böhm
586,Yul Brynner
587,Pierre Brasseur
588,Kevin McCarthy
589,Alec Guinness
590,Michael Rennie
591,Rita Hayworth
592,Samuel Armstrong
593,Claude Rains
594,John Cho
595,Maryana Spivak
596,Brooklynn Prince
597,Michael B. Jordan
598,Chris Evans
599,Michael Schwartz
600,Laia Costa
601,Günes Sensoy
602,Ansel Elgort
603,Josh Brolin
604,Emily Blunt
605,Aleksey Serebryakov
606,Judi Dench
607,Gary Oldman
608,Jose Coronado
609,Amy Poehler
610,Lady Gaga
611,Mikael Persbrandt
612,Chris Renaud
613,Joseph Gordon-Levitt
614,Aaron Taylor-Johnson
615,Luis Tosar
616,Antonio Banderas
617,Jürgen Vogel
618,Quinton Aaron
619,Richard Jenkins
620,Charlie Cox
621,Nora Twomey
622,Marion Cotillard
623,Gerard Butler
624,Scarlett Johansson
625,Jackie Earle Haley
626,Philip Seymour Hoffman
627,Brady Corbet
628,Guillaume Canet
629,Peter Dinklage
630,J. Mackye Gruber
631,Cillian Murphy
632,Maribel Verdú
633,Jude Law
634,Barry Cook
635,Susanne Lothar
636,Rufus Sewell
637,Bill Pullman
638,Emma Thompson
639,Zbigniew Zamachowski
640,Jason London
641,Joe Pesci
642,Miki Imai
643,Jean-Pierre Jeunet
644,Macaulay Culkin
645,Billy Crystal
646,Leslie Nielsen
647,Steve Martin
648,Michael Beck
649,Jim Henson
650,John Hubley
651,Brad Davis
652,Richard Dreyfuss
653,Elliott Gould
654,Rod Steiger
655,Phil Harris
656,David Hemmings
657,John Lennon
658,Tallulah Bankhead
659,Robert Donat
660,Heath Ledger
661,Lee J. Cobb
662,Robin Wright
663,Eli Wallach
664,Keanu Reeves
665,Ray Liotta
666,Louise Fletcher
667,Phillipa Soo
668,Lee Sun-kyun
669,Madhavan
670,Anne Hathaway
671,Alexandre Rodrigues
672,Suzanne Pleshette
673,Michael Clarke Duncan
674,Nicoletta Braschi
675,Akira Ishihama
676,Donna Reed
677,J.K. Simmons
678,François Cluzet
679,Thomas Kretschmann
680,Edward Furlong
681,Gabriel Byrne
682,Linda Hamilton
683,Enzo Cannavale
684,Ayano Shiraishi
